,0,1,2,3,4,5,6
1,77,68,76,76,77,68,75
2,73,73,73,73,88,74,68
3,88,88,88,88,68,68,88
4,80,77,77,73,80,77,80
5,88,88,78,88,78,80,88
6,80,68,68,80,80,80,80
7,68,68,68,68,87,87,80
8,77,76,77,77,76,80,76
9,68,68,80,80,80,80,68
10,89,89,80,80,69,80,69
11,68,78,88,78,88,68,88
12,78,88,88,68,88,88,78
13,77,77,68,68,68,77,77
14,67,67,80,67,80,80,80
15,69,69,69,80,69,80,80
16,77,68,77,77,86,68,86
17,88,83,69,73,88,77,78
18,80,68,68,80,68,80,68
19,68,80,80,68,68,80,80
20,86,80,80,86,68,80,86
21,74,84,74,88,73,88,77
22,80,69,89,69,69,73,69
23,88,80,80,69,80,69,88
24,73,78,73,74,74,78,69
25,77,77,69,69,77,77,69
26,68,68,77,68,77,68,77
27,73,73,68,73,68,73,73
28,68,73,68,88,80,80,73
29,77,68,78,74,68,68,78
30,40,40,40,40,80,40,40
31,89,89,80,80,88,88,88
32,79,79,67,67,67,79,67
33,88,86,88,73,86,88,73
34,68,80,77,68,68,77,80
35,80,76,74,68,80,76,80
36,86,68,86,86,86,68,68
37,67,80,67,80,67,67,67
38,68,68,88,88,68,88,87
39,68,68,87,87,68,68,87
40,77,68,77,68,77,77,68
41,68,68,77,77,68,68,68
42,77,77,77,67,67,77,77
43,88,88,67,67,88,88,80
44,67,80,67,67,67,88,67
45,80,77,67,77,67,80,77
46,67,67,67,67,67,80,67
47,77,80,77,77,80,77,67
48,79,79,79,67,67,79,67
49,86,77,86,67,67,67,67
50,74,87,74,74,87,73,73
51,67,90,90,86,67,80,86
52,67,80,80,80,80,67,80
53,73,88,88,88,73,73,73
54,68,68,68,80,80,73,88
55,67,86,80,67,67,86,86
56,80,80,67,80,78,78,80
57,67,80,80,80,67,67,80
58,67,67,80,80,67,80,67
59,80,67,67,67,80,80,67
60,66,66,80,66,66,66,80
61,67,80,80,80,67,67,67
62,67,87,74,73,67,74,74
63,76,76,76,77,76,77,67
64,67,80,67,67,67,80,80
65,80,77,80,66,66,66,80
66,68,68,68,86,77,77,77
67,77,67,67,67,67,67,77
68,73,73,86,86,86,86,73
69,77,86,67,77,86,89,67
70,77,67,86,77,67,67,67
71,76,75,84,67,67,84,75
72,77,81,77,77,78,78,67
73,90,90,77,73,90,90,90
74,73,73,80,80,73,77,77
75,67,67,79,67,79,79,79
76,78,66,78,78,66,78,78
77,66,88,80,66,88,80,80
78,74,66,80,80,80,74,80
79,73,88,88,88,73,88,88
80,66,66,73,89,66,73,77
81,67,67,77,67,67,77,67
82,73,74,66,74,66,73,66
83,86,86,66,66,77,66,66
84,67,67,67,67,67,83,83
85,77,77,77,77,77,67,77
86,66,80,80,80,80,66,66
87,80,80,80,80,66,80,80
88,66,86,86,66,86,86,86
89,82,82,82,55,87,82,87
90,86,66,77,86,66,66,88
91,84,84,77,76,76,66,66
92,73,86,86,73,66,78,86
93,80,77,77,80,69,80,80
94,76,63,77,76,76,76,63
95,84,84,77,65,76,77,75
96,87,64,87,88,87,88,88
97,74,63,80,63,90,63,74
98,64,64,80,88,64,64,88
99,10,75,84,84,10,10,75
100,80,78,70,70,78,80,80
101,87,83,75,73,74,73,54
102,76,75,76,43,43,43,75
103,84,76,76,76,84,69,75
104,77,77,69,69,69,77,77
105,69,69,69,77,77,77,77
106,88,80,69,88,88,69,80
107,80,80,69,80,69,69,69
108,69,69,69,69,77,77,69
109,77,87,69,69,69,69,77
110,74,73,74,68,74,89,89
111,86,77,69,77,69,77,86
112,74,69,76,69,69,76,69
113,80,69,80,80,80,69,69
114,69,69,69,75,75,69,69
115,69,69,79,69,79,79,69
116,77,69,77,69,77,77,69
117,88,73,74,69,73,73,69
118,73,69,88,73,88,69,74
119,67,67,67,67,67,67,79
120,77,69,77,77,69,78,69
121,89,69,73,69,89,89,73
122,69,69,77,77,77,69,69
123,69,83,77,77,83,77,77
124,80,69,85,85,69,69,69
125,80,69,69,80,80,80,80
126,80,80,80,69,80,69,69
127,80,80,45,80,45,80,78
128,69,88,88,73,69,69,69
129,69,88,69,80,86,69,86
130,78,78,78,69,69,69,69
131,86,86,34,34,80,34,86
132,12,12,80,74,84,84,74
133,89,12,12,12,80,89,89
134,80,14,14,80,80,14,14
135,88,41,85,88,41,88,85
136,12,80,80,12,12,80,80
137,69,69,69,80,80,69,69
138,77,69,77,77,77,69,77
139,76,77,77,42,77,42,76
140,74,76,74,74,76,76,66
141,87,27,81,87,81,87,76
142,74,74,44,74,76,84,44
143,84,38,38,84,38,38,84
144,73,61,88,88,88,61,88
145,73,87,73,87,88,87,88
146,69,69,69,80,69,80,69
147,88,73,73,73,69,88,73
148,74,73,74,69,74,73,73
149,80,69,69,69,80,69,80
150,69,80,80,77,80,80,80
151,77,76,74,44,74,44,77
152,87,77,46,87,87,87,87
153,77,77,61,61,61,77,77
154,52,52,52,77,77,77,52
155,86,84,60,60,84,60,84
156,65,88,88,88,88,88,65
157,59,80,89,89,59,59,80
158,77,77,62,62,77,77,77
159,85,88,65,65,88,65,88
160,80,80,80,65,65,80,80
161,86,86,86,73,73,86,59
162,80,54,80,54,80,54,54
163,77,77,47,77,77,47,77
164,88,62,74,73,88,74,88
165,59,80,80,59,80,80,59
166,80,59,80,80,59,59,80
167,53,53,53,53,53,53,77
168,77,77,47,47,47,77,47
169,77,77,77,66,66,75,66
170,80,86,61,77,86,86,77
171,77,87,77,64,77,77,64
172,87,89,89,73,86,87,53
173,86,86,74,77,77,77,77
174,73,54,54,73,74,74,73
175,58,58,58,87,58,87,87
176,59,88,87,89,73,89,59
177,90,73,90,73,39,39,90
178,30,30,80,80,80,30,80
179,87,44,87,44,44,87,87
180,52,80,89,80,80,80,89
181,89,74,89,70,87,87,74
182,80,63,80,78,78,80,80
183,88,73,88,73,88,52,52
184,77,74,66,66,77,87,83
185,86,88,33,86,33,86,88
186,53,53,77,73,77,77,73
187,78,78,73,47,80,73,73
188,73,89,73,73,60,80,60
189,65,75,75,77,65,65,65
190,62,80,80,89,89,62,80
191,57,80,57,85,57,80,57
192,53,80,53,80,53,53,80
193,80,80,80,80,56,80,80
194,46,78,78,46,46,46,78
195,57,87,87,87,87,73,88
196,80,62,62,62,80,80,80
197,86,86,40,80,80,86,86
198,88,63,88,63,88,88,88
199,30,80,30,30,80,30,30
200,83,83,53,53,83,83,53
201,73,73,74,83,73,73,74
202,77,86,77,66,66,66,66
203,90,65,90,65,90,90,90
204,58,77,77,77,87,87,77
205,89,80,80,89,80,43,89
206,87,88,61,87,74,61,74
207,86,86,73,73,73,73,63
208,83,77,77,77,47,47,47
209,80,84,77,57,84,57,57
210,74,73,73,62,62,74,62
211,77,89,43,77,43,77,43
212,61,80,80,61,61,80,61
213,86,59,80,80,86,86,80
214,55,80,55,89,55,84,80
215,80,80,80,80,80,62,80
216,62,86,62,86,86,77,77
217,86,65,65,83,86,65,86
218,64,88,64,64,88,64,88
219,57,57,57,57,57,83,83
220,69,77,69,77,86,86,69
221,69,80,69,80,69,69,69
222,87,69,74,73,87,69,87
223,80,80,88,69,88,80,80
224,80,69,80,69,69,80,69
225,77,77,77,69,69,76,76
226,63,88,88,63,88,63,63
227,73,64,87,74,74,64,73
228,74,87,55,73,87,74,87
229,87,57,87,73,57,73,73
230,73,59,87,59,74,73,73
231,73,78,74,65,77,77,65
232,61,90,90,90,77,73,61
233,73,73,73,73,73,65,73
234,83,48,83,73,73,83,73
235,73,77,87,87,89,77,73
236,77,77,69,80,69,80,77
237,86,80,80,80,86,86,69
238,60,60,60,60,60,60,77
239,80,65,80,87,78,65,80
240,69,69,77,77,77,69,77
241,65,73,65,65,86,65,89
242,70,77,70,77,77,70,70
